"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Zimbabwe","62.7124366666666","61.1612133333333","59.60657","58.05199","56.5007033333334","54.9461233333333","Source","renewable ressources","state of forest reccources","Africa"
"2","Zimbabwe","13.702","13.7906666666667","13.0433333333333","18.186","18.186","18.186","Source","renewable ressources","Surfacewater Stress","Africa"
"3","Zimbabwe","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Africa"
"4","Zimbabwe","67.9375","67.9375","67.9375","67.9375","67.9375","67.9375","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","Zimbabwe","94.678368375","98.658417125","100","97.34746225","98.96215825","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Zimbabwe","15.9812790551577","43.8522427440633","36.9292624701596","40.3907526071114","41.703731624576","48.8791456850148","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Zimbabwe","77.675","77.675","77.675","77.675","77.675","84.135","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"8","Zimbabwe","84.64908","84.3130041666667","84.0108291666667","83.7550216666667","83.5046966666667","83.2429816666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Zimbabwe","73.8116666666667","74.3816666666667","74.1916666666667","74.2866666666667","74.4133333333333","74.4133333333333","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"10","Zimbabwe","44.1037195","44.030864","43.9694275","43.919885","43.8815145","43.855152","Human health and welfare","human health","Drinking water contamination","Africa"
"11","Zimbabwe","40.625","40.625","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"12","Zimbabwe","44.1278274399455","43.8551349005863","42.6803109553331","47.2626533511402","46.8378567061549","46.4042845413734","Source","renewable ressources","renewable ressources","Africa"
"13","Zimbabwe","67.9375","67.9375","67.9375","67.9375","67.9375","67.9375","Source","non-renewable ressources","non-renewable ressources","Africa"
"14","Zimbabwe","54.7533951157487","54.5839557682345","53.847874846905","56.664861352015","56.4096347264756","56.147939241165","Source","Source","Source","Africa"
"15","Zimbabwe","38.898347336203","65.7753210293234","60.7694515938392","62.7051613877986","64.242441490395","69.9136221955456","Sink","global System","global System","Africa"
"16","Zimbabwe","77.675","77.675","77.675","77.675","77.675","84.135","Sink","critical ecosystems","critical ecosystems","Africa"
"17","Zimbabwe","54.9675279536889","71.4779550697465","68.7042003996223","69.7898517751489","70.6401560216739","76.6953884104007","Sink","Sink","Sink","Africa"
"18","Zimbabwe","84.64908","84.3130041666667","84.0108291666667","83.7550216666667","83.5046966666667","83.2429816666667","Life support","ecosystem health","ecosystem health","Africa"
"19","Zimbabwe","84.64908","84.3130041666667","84.0108291666667","83.7550216666667","83.5046966666667","83.2429816666667","Life support","Life support","Life support","Africa"
"20","Zimbabwe","57.0558414405937","57.2283937315502","57.1153666591064","57.1197151343854","57.1434140182401","57.1262465435985","Human health and welfare","human health","human health","Africa"
"21","Zimbabwe","40.625","40.625","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"22","Zimbabwe","48.1445070441491","48.2172530879169","48.1696145980658","48.1714482586356","48.1814403530136","48.1742022853901","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"23","Zimbabwe","59.1795368008847","63.1078723898238","62.2035362794462","63.2013952943846","63.2774405862964","64.463860174127","11","SESI layer","SESI layer","Africa"
